,id,ndb_no,shrt_desc,water,energ_kcal,protein,lipid_tot,ash,carbohydrt,fiber_td,sugar_tot,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,manganese,selenium,vit_c,thiamin,riboflavin,niacin,panto_acid,vit_b6,folate_tot,folic_acid,food_folate,folate_dfe,choline_tot,vit_b12,vit_a_iu,vit_a_rae,retinol,alpha_carot,beta_carot,beta_crypt,lycopene,lutzea,vit_e,vit_d,vit_d_iu,vit_k,fa_sat,fa_mono,fa_poly,cholestrl,gmwt_1,gmwt_desc1,gmwt_2,gmwt_desc2,refuse_pct,fruit_name
12,2591,8693,"CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,CHERRY PISTACHIO,DRY",6.59,394,12.02,11.02,3.65,66.73,7.1,26.34,132,2.99,103,333,501,181,2.14,0.0,0.0,0.0,0.7,0.334,0.25,1.33,0.0,0.231,22,0,22,0,0.0,0.21,45,0,0,0,0,0,0,0,0.5,0.0,0,0.0,1.387,5.695,3.147,1,73.0,"1 package,  (1 NLEA serving)",0.0,,0,cherry
13,2633,19067,"CANDIES,TWIZZLERS CHERRY BITES",15.0,338,2.97,1.7,0.79,79.38,0.1,0.0,12,0.55,0,47,14,261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.25,0.49,0.04,0,40.0,18 pieces,0.0,,0,cherry
14,2670,9001,"ACEROLA,(WEST INDIAN CHERRY),RAW",91.41,32,0.4,0.3,0.2,7.69,1.1,0.0,12,0.2,18,11,146,7,0.1,0.086,0.0,0.6,1677.6,0.02,0.06,0.4,0.309,0.009,14,0,14,14,0.0,0.0,767,38,0,0,0,0,0,0,0.0,0.0,0,0.0,0.068,0.082,0.09,0,98.0,1 cup,4.8,"1 fruit, without refuse",20,cherry
15,2783,19092,"CANDIES,TWIZZLERS NIBS CHERRY BITS",15.0,347,2.3,2.64,0.57,79.37,0.6,51.35,8,0.28,0,24,37,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.54,1.88,0.14,0,40.0,27 pieces,0.0,,0,cherry
16,3946,14235,"BEV, OCEAN SPRAY, CRAN CHERRY DIET",99.1,4,0.21,0.0,0.1,0.7,0.6,0.22,1,0.04,1,0,12,8,0.01,0.009,0.012,0.0,32.8,0.0,0.0,0.026,0.0,0.0,4,4,0,8,0.0,0.0,25,1,0,0,15,0,0,0,0.0,0.0,0,0.1,0.001,0.001,0.001,0,237.0,8 fl oz,0.0,,0,cherry
17,4023,19314,"PIE FILLINGS,CND,CHERRY",71.23,115,0.37,0.07,0.2,28.0,0.6,0.0,11,0.24,7,15,105,18,0.05,0.08,0.03,0.4,3.6,0.025,0.016,0.14,0.063,0.037,4,0,4,4,0.0,0.0,205,10,0,0,0,0,0,0,0.0,0.0,0,0.0,0.018,0.021,0.021,0,74.0,.125 can,595.0,"1 can,  (21 oz)",0,cherry
18,396,6002,"SOUP,BLACK BEAN,CND,COND",75.33,91,4.83,1.32,3.1,15.42,6.8,2.49,35,1.5,33,75,250,970,1.1,0.3,0.5,0.0,0.2,0.042,0.039,0.41,0.16,0.07,66,0,66,66,15.5,0.0,445,22,0,80,219,12,463,36,0.36,0.0,0,1.8,0.34,0.48,0.41,0,257.0,"1 cup,  (8 fl oz)",312.0,"1 can,  (11 oz), undiluted",0,bean
19,398,6004,"SOUP,BEAN W/ PORK,CND,COND",70.17,129,5.88,4.42,2.57,16.97,5.9,3.0,60,1.53,33,98,375,672,0.77,0.3,0.5,6.4,1.2,0.065,0.025,0.421,0.07,0.031,24,0,24,24,26.7,0.03,662,34,1,118,336,0,5946,9,0.87,0.0,0,2.4,1.14,1.62,1.36,2,130.0,.5 cup,326.0,"1 can, 11.5 oz",0,bean
20,399,6006,"SOUP,BEAN W/ FRANKFURTERS,CND,COND",67.7,142,7.6,5.31,2.64,16.75,4.6,0.0,66,1.78,37,126,363,831,0.9,0.3,0.6,6.9,0.7,0.083,0.049,0.78,0.07,0.1,24,0,24,24,0.0,0.06,662,33,0,0,0,0,0,0,0.0,0.0,0,0.0,1.61,2.08,1.25,9,263.0,"1 cup,  (8 fl oz)",319.0,"1 can,  (11.25 oz)",0,bean
21,400,6007,"SOUP,BEAN W/ HAM,CND,CHUNKY,RTS",78.63,95,5.19,3.5,1.52,11.16,4.6,0.0,32,1.33,19,59,175,400,0.44,0.16,0.29,6.9,1.8,0.06,0.06,0.7,0.04,0.05,12,0,12,12,0.0,0.03,1626,81,0,0,0,0,0,0,0.0,0.0,0,0.0,1.37,1.58,0.39,9,243.0,"1 cup,  (8 fl oz)",546.0,"1 can,  (19.25 oz)",0,bean
